path;transcript
data/train/audio001.wav;The birch canoe slid on the smooth planks.
data/train/audio002.wav;Glue the sheet to the dark blue background.
data/train/audio003.wav;It's easy to tell the depth of a well.
data/train/audio004.wav;These days a chicken leg is a rare dish.
data/train/audio005.wav;Rice is often served in round bowls.
data/train/audio006.wav;The juice of lemons makes fine punch.
data/train/audio007.wav;The box was thrown beside the parked truck.
data/train/audio008.wav;The hogs were fed chopped corn and garbage.
data/train/audio009.wav;Four hours of steady work faced us.
data/train/audio010.wav;A large size in stockings is hard to sell.
data/train/audio011.wav;The boy was there when the sun rose.
data/train/audio012.wav;A rod is used to catch pink salmon.
data/train/audio013.wav;The source of the huge river is the clear spring.
data/train/audio014.wav;Kick the ball straight and follow through.
data/train/audio015.wav;Help the woman get back to her feet.
data/train/audio016.wav;A pot of tea helps to pass the evening.
data/train/audio017.wav;Smoky fires lack flame and heat.
data/train/audio018.wav;The soft cushion broke the man's fall.
data/train/audio019.wav;The salt breeze came across from the sea.
data/train/audio020.wav;The girl at the booth sold fifty bonds.
data/train/audio021.wav;The small pup gnawed a hole in the sock.
data/train/audio022.wav;The fish twisted and turned on the bent hook.
data/train/audio023.wav;Press the pants and sew a button on the vest.
data/train/audio024.wav;The swan dive was far short of perfect.
data/train/audio025.wav;The beauty of the view stunned the young boy.
data/train/audio026wav;Two blue fish swam in the tank.
data/train/audio027.wav;Her purse was full of useless trash.
data/train/audio028.wav;The colt reared and threw the tall rider.
data/train/audio029.wav;It snowed, rained, and hailed the same morning.
data/train/audio030.wav;Read verse out loud for pleasure.
